k,regime,seed,total_wd,evaporated_U
2,OFF,100,4332,0.0
2,OFF,101,4313,0.0
2,OFF,102,4309,0.0
2,OFF,103,4524,0.0
2,OFF,104,4474,0.0
2,OFF,105,4371,0.0
2,OFF,106,4351,0.0
2,OFF,107,4521,0.0
2,OFF,108,4466,0.0
2,OFF,109,4439,0.0
2,OFF,110,4441,0.0
2,OFF,111,4382,0.0
2,OFF,112,4370,0.0
2,OFF,113,4452,0.0
2,OFF,114,4475,0.0
2,OFF,115,4400,0.0
2,OFF,116,4443,0.0
2,OFF,117,4492,0.0
2,OFF,118,4317,0.0
2,OFF,119,4257,0.0
2,OFF,120,4314,0.0
2,OFF,121,4351,0.0
2,OFF,122,4330,0.0
2,OFF,123,4391,0.0
2,OFF,124,4406,0.0
2,OFF,125,4575,0.0
2,OFF,126,4490,0.0
2,OFF,127,4484,0.0
2,OFF,128,4328,0.0
2,OFF,129,4418,0.0
2,ON_unbounded,100,4714,38966817832.41416
2,ON_unbounded,101,4631,37615173966.322105
2,ON_unbounded,102,4670,37888577193.527565
2,ON_unbounded,103,4718,35662364374.11961
2,ON_unbounded,104,4833,37185752852.40882
2,ON_unbounded,105,4665,36862666891.87773
2,ON_unbounded,106,4751,35979317470.052605
2,ON_unbounded,107,4591,35295636330.1496
2,ON_unbounded,108,4731,39355659009.37732
2,ON_unbounded,109,4748,35737785198.26513
2,ON_unbounded,110,4715,37660215564.23519
2,ON_unbounded,111,4739,37996044626.0152
2,ON_unbounded,112,4717,37335774214.13056
2,ON_unbounded,113,4779,36983060850.9825
2,ON_unbounded,114,4691,37472335119.48379
2,ON_unbounded,115,4708,37494730617.07654
2,ON_unbounded,116,4621,35560612012.61507
2,ON_unbounded,117,4578,36105226309.965706
2,ON_unbounded,118,4524,36924960260.82902
2,ON_unbounded,119,4670,36039556156.957664
2,ON_unbounded,120,4736,35243924121.75091
2,ON_unbounded,121,4647,36295766288.74556
2,ON_unbounded,122,4591,38759875078.97031
2,ON_unbounded,123,4714,35710748641.62261
2,ON_unbounded,124,4696,37417718433.573074
2,ON_unbounded,125,4675,36497856477.99583
2,ON_unbounded,126,4640,35144627722.35992
2,ON_unbounded,127,4548,35928769376.01628
2,ON_unbounded,128,4584,37049281704.32282
2,ON_unbounded,129,4705,38100889477.16725
2,W12_both,100,4583,38285556713.722015
2,W12_both,101,4618,38680172572.881065
2,W12_both,102,4541,37557324540.22938
2,W12_both,103,4604,35662740362.39664
2,W12_both,104,4570,36433637539.42965
2,W12_both,105,4647,37067858995.90201
2,W12_both,106,4616,37188746375.33952
2,W12_both,107,4715,37299563331.758896
2,W12_both,108,4621,37150511275.00593
2,W12_both,109,4600,37097821981.057144
2,W12_both,110,4558,37415638270.26861
2,W12_both,111,4612,38091277326.625244
2,W12_both,112,4627,36404906989.987724
2,W12_both,113,4494,36627542536.623245
2,W12_both,114,4545,35436920711.32215
2,W12_both,115,4602,38993892834.68674
2,W12_both,116,4537,37108762766.5539
2,W12_both,117,4679,36304251681.84438
2,W12_both,118,4476,39287423191.631516
2,W12_both,119,4475,35627387601.94275
2,W12_both,120,4513,36239835420.291855
2,W12_both,121,4608,35978073940.87763
2,W12_both,122,4620,36667396003.93084
2,W12_both,123,4569,36039402844.28189
2,W12_both,124,4641,36281152645.21492
2,W12_both,125,4586,39164124246.82725
2,W12_both,126,4551,36941967836.75179
2,W12_both,127,4805,39259436832.54327
2,W12_both,128,4564,40403614509.483154
2,W12_both,129,4619,38239188024.94545
5,OFF,100,4332,0.0
5,OFF,101,4313,0.0
5,OFF,102,4309,0.0
5,OFF,103,4524,0.0
5,OFF,104,4474,0.0
5,OFF,105,4371,0.0
5,OFF,106,4351,0.0
5,OFF,107,4521,0.0
5,OFF,108,4466,0.0
5,OFF,109,4439,0.0
5,OFF,110,4441,0.0
5,OFF,111,4382,0.0
5,OFF,112,4370,0.0
5,OFF,113,4452,0.0
5,OFF,114,4475,0.0
5,OFF,115,4400,0.0
5,OFF,116,4443,0.0
5,OFF,117,4492,0.0
5,OFF,118,4317,0.0
5,OFF,119,4257,0.0
5,OFF,120,4314,0.0
5,OFF,121,4351,0.0
5,OFF,122,4330,0.0
5,OFF,123,4391,0.0
5,OFF,124,4406,0.0
5,OFF,125,4575,0.0
5,OFF,126,4490,0.0
5,OFF,127,4484,0.0
5,OFF,128,4328,0.0
5,OFF,129,4418,0.0
5,ON_unbounded,100,4725,38668189643.08231
5,ON_unbounded,101,4759,37952688084.750565
5,ON_unbounded,102,4727,38495223426.31073
5,ON_unbounded,103,4806,39021161448.74352
5,ON_unbounded,104,4746,35431634617.5087
5,ON_unbounded,105,4740,35536097900.2897
5,ON_unbounded,106,4757,33394324629.223145
5,ON_unbounded,107,4669,35191431318.423584
5,ON_unbounded,108,4642,36800504738.369965
5,ON_unbounded,109,4714,35857202670.98608
5,ON_unbounded,110,4728,35816737958.31461
5,ON_unbounded,111,4836,36468570357.264084
5,ON_unbounded,112,4614,33500223962.812187
5,ON_unbounded,113,4619,35651910453.48872
5,ON_unbounded,114,4641,34403158916.213326
5,ON_unbounded,115,4819,34763974382.52296
5,ON_unbounded,116,4793,35920889914.18688
5,ON_unbounded,117,4702,36163094303.791306
5,ON_unbounded,118,4775,37851402539.835236
5,ON_unbounded,119,4695,35749845005.39473
5,ON_unbounded,120,4694,33765582936.290604
5,ON_unbounded,121,4595,36302112939.41803
5,ON_unbounded,122,4613,35049452050.441444
5,ON_unbounded,123,4659,34985248154.30737
5,ON_unbounded,124,4798,35447555948.0206
5,ON_unbounded,125,4696,35263537853.7481
5,ON_unbounded,126,4786,36066087227.41987
5,ON_unbounded,127,4730,37524880767.93994
5,ON_unbounded,128,4675,36557284410.97361
5,ON_unbounded,129,4860,38495551143.17297
5,W12_both,100,4568,38687105506.16429
5,W12_both,101,4613,37464572950.77017
5,W12_both,102,4718,38486654960.99327
5,W12_both,103,4606,37712249477.14927
5,W12_both,104,4683,36981330470.617645
5,W12_both,105,4668,38495539506.94259
5,W12_both,106,4690,38294150644.111885
5,W12_both,107,4629,36446390808.802986
5,W12_both,108,4613,36309958602.23795
5,W12_both,109,4594,36503835450.4842
5,W12_both,110,4601,35966527336.0957
5,W12_both,111,4635,37481138739.76306
5,W12_both,112,4597,35845963446.57086
5,W12_both,113,4496,35641919583.78235
5,W12_both,114,4655,34761458387.75185
5,W12_both,115,4662,36450938975.36908
5,W12_both,116,4752,38852930055.57387
5,W12_both,117,4870,39768454405.35078
5,W12_both,118,4576,36264585341.8964
5,W12_both,119,4485,34118494016.73912
5,W12_both,120,4554,36396053217.004684
5,W12_both,121,4655,37078518905.270096
5,W12_both,122,4622,36017034728.39886
5,W12_both,123,4693,35419074873.00466
5,W12_both,124,4676,36889174500.936195
5,W12_both,125,4679,37572378893.702965
5,W12_both,126,4592,36426248315.908516
5,W12_both,127,4642,36915234300.580444
5,W12_both,128,4714,37865841832.23576
5,W12_both,129,4501,37022835377.590126
10,OFF,100,4332,0.0
10,OFF,101,4313,0.0
10,OFF,102,4309,0.0
10,OFF,103,4524,0.0
10,OFF,104,4474,0.0
10,OFF,105,4371,0.0
10,OFF,106,4351,0.0
10,OFF,107,4521,0.0
10,OFF,108,4466,0.0
10,OFF,109,4439,0.0
10,OFF,110,4441,0.0
10,OFF,111,4382,0.0
10,OFF,112,4370,0.0
10,OFF,113,4452,0.0
10,OFF,114,4475,0.0
10,OFF,115,4400,0.0
10,OFF,116,4443,0.0
10,OFF,117,4492,0.0
10,OFF,118,4317,0.0
10,OFF,119,4257,0.0
10,OFF,120,4314,0.0
10,OFF,121,4351,0.0
10,OFF,122,4330,0.0
10,OFF,123,4391,0.0
10,OFF,124,4406,0.0
10,OFF,125,4575,0.0
10,OFF,126,4490,0.0
10,OFF,127,4484,0.0
10,OFF,128,4328,0.0
10,OFF,129,4418,0.0
10,ON_unbounded,100,4742,36535578647.23963
10,ON_unbounded,101,4758,37473384342.98662
10,ON_unbounded,102,4732,37236809267.83262
10,ON_unbounded,103,4964,39141198119.124466
10,ON_unbounded,104,4855,35769870471.777016
10,ON_unbounded,105,4705,33814732408.345413
10,ON_unbounded,106,4737,35393701517.4319
10,ON_unbounded,107,4751,36375400433.726395
10,ON_unbounded,108,4835,36093742093.30445
10,ON_unbounded,109,4706,35807593933.3755
10,ON_unbounded,110,4820,38970096939.37785
10,ON_unbounded,111,4723,36769874139.30429
10,ON_unbounded,112,4634,35235268287.89179
10,ON_unbounded,113,4608,34767330759.499115
10,ON_unbounded,114,4781,34418933600.44917
10,ON_unbounded,115,4770,36417324226.99571
10,ON_unbounded,116,4714,34830133484.21211
10,ON_unbounded,117,4705,38203931031.94864
10,ON_unbounded,118,4730,36091681412.00978
10,ON_unbounded,119,4695,34493360180.05266
10,ON_unbounded,120,4694,35564395442.35925
10,ON_unbounded,121,4718,35737495663.61805
10,ON_unbounded,122,4602,35657426303.64922
10,ON_unbounded,123,4826,34025912979.21472
10,ON_unbounded,124,4666,33481331121.127235
10,ON_unbounded,125,4759,37434728438.82947
10,ON_unbounded,126,4862,36225534666.171165
10,ON_unbounded,127,4719,35598561932.86527
10,ON_unbounded,128,4804,37827361913.226906
10,ON_unbounded,129,4753,37073562799.451385
10,W12_both,100,4509,35883449336.47372
10,W12_both,101,4598,37134847610.7321
10,W12_both,102,4579,36270317977.66377
10,W12_both,103,4654,35178248128.68061
10,W12_both,104,4728,36657453234.76326
10,W12_both,105,4621,36933971393.142136
10,W12_both,106,4787,37151379040.3959
10,W12_both,107,4691,35404852426.41271
10,W12_both,108,4678,37023985866.67885
10,W12_both,109,4620,34223445776.955803
10,W12_both,110,4755,37171687122.48647
10,W12_both,111,4669,39249920941.4985
10,W12_both,112,4658,36504132834.15531
10,W12_both,113,4426,34157931863.58415
10,W12_both,114,4780,36657738347.84639
10,W12_both,115,4815,36950012203.907265
10,W12_both,116,4635,35209687866.72571
10,W12_both,117,4655,37277834056.415985
10,W12_both,118,4548,34439481417.32713
10,W12_both,119,4610,34628272798.09916
10,W12_both,120,4640,37539779265.42655
10,W12_both,121,4533,35291640073.538216
10,W12_both,122,4643,38174485738.21932
10,W12_both,123,4603,34121121790.206512
10,W12_both,124,4680,37736144368.65428
10,W12_both,125,4668,38346182623.63568
10,W12_both,126,4697,37560876609.25727
10,W12_both,127,4735,36154174639.77749
10,W12_both,128,4794,40520055074.09245
10,W12_both,129,4686,37095132727.41262
20,OFF,100,4332,0.0
20,OFF,101,4313,0.0
20,OFF,102,4309,0.0
20,OFF,103,4524,0.0
20,OFF,104,4474,0.0
20,OFF,105,4371,0.0
20,OFF,106,4351,0.0
20,OFF,107,4521,0.0
20,OFF,108,4466,0.0
20,OFF,109,4439,0.0
20,OFF,110,4441,0.0
20,OFF,111,4382,0.0
20,OFF,112,4370,0.0
20,OFF,113,4452,0.0
20,OFF,114,4475,0.0
20,OFF,115,4400,0.0
20,OFF,116,4443,0.0
20,OFF,117,4492,0.0
20,OFF,118,4317,0.0
20,OFF,119,4257,0.0
20,OFF,120,4314,0.0
20,OFF,121,4351,0.0
20,OFF,122,4330,0.0
20,OFF,123,4391,0.0
20,OFF,124,4406,0.0
20,OFF,125,4575,0.0
20,OFF,126,4490,0.0
20,OFF,127,4484,0.0
20,OFF,128,4328,0.0
20,OFF,129,4418,0.0
20,ON_unbounded,100,4812,38055007119.55476
20,ON_unbounded,101,4749,36405300992.47239
20,ON_unbounded,102,4749,35422232709.436104
20,ON_unbounded,103,4887,39053619710.51915
20,ON_unbounded,104,4745,36076266387.86986
20,ON_unbounded,105,4867,37968859275.09796
20,ON_unbounded,106,4676,35897018892.640854
20,ON_unbounded,107,4768,35324185603.363556
20,ON_unbounded,108,4679,34089009837.590965
20,ON_unbounded,109,4760,35978034775.97086
20,ON_unbounded,110,4733,35848194844.52722
20,ON_unbounded,111,4782,35764061055.02184
20,ON_unbounded,112,4786,35276016720.356346
20,ON_unbounded,113,4638,34597945961.40229
20,ON_unbounded,114,4854,36049820289.29629
20,ON_unbounded,115,4879,34532153539.40272
20,ON_unbounded,116,4669,35374891698.24983
20,ON_unbounded,117,4557,32746763374.40272
20,ON_unbounded,118,4797,38918050069.84008
20,ON_unbounded,119,4710,35295052940.3292
20,ON_unbounded,120,4781,36519950472.18508
20,ON_unbounded,121,4723,35043958072.39696
20,ON_unbounded,122,4750,36679906522.77211
20,ON_unbounded,123,4797,35503876029.19499
20,ON_unbounded,124,4799,36048038957.68489
20,ON_unbounded,125,4757,38122897164.34832
20,ON_unbounded,126,4686,34013476483.50839
20,ON_unbounded,127,4974,37897547988.159645
20,ON_unbounded,128,4804,37525715072.79166
20,ON_unbounded,129,4714,36358427736.28481
20,W12_both,100,4615,37371258599.52558
20,W12_both,101,4627,37129326472.99861
20,W12_both,102,4659,38456552916.57232
20,W12_both,103,4594,35341969797.481255
20,W12_both,104,4808,37975295921.106155
20,W12_both,105,4595,35907256795.48358
20,W12_both,106,4683,36073144629.91575
20,W12_both,107,4802,37359533935.8575
20,W12_both,108,4681,36221098547.31374
20,W12_both,109,4631,34718690703.87893
20,W12_both,110,4713,36882797801.434814
20,W12_both,111,4691,36184063625.98072
20,W12_both,112,4745,36182670030.69271
20,W12_both,113,4549,34821334569.99621
20,W12_both,114,4590,35223380630.94951
20,W12_both,115,4636,35037366929.74466
20,W12_both,116,4781,38756659068.50593
20,W12_both,117,4715,38488367847.95411
20,W12_both,118,4602,36377414190.433624
20,W12_both,119,4548,37119845089.615685
20,W12_both,120,4607,36672671281.373375
20,W12_both,121,4669,33115362370.48825
20,W12_both,122,4533,34774789884.22955
20,W12_both,123,4605,34629874322.40356
20,W12_both,124,4614,34842117986.66647
20,W12_both,125,4704,38426306074.86261
20,W12_both,126,4566,35901709577.007744
20,W12_both,127,4761,36895380078.2393
20,W12_both,128,4528,38664344901.98246
20,W12_both,129,4711,37871023304.01523
50,OFF,100,4332,0.0
50,OFF,101,4313,0.0
50,OFF,102,4309,0.0
50,OFF,103,4524,0.0
50,OFF,104,4474,0.0
50,OFF,105,4371,0.0
50,OFF,106,4351,0.0
50,OFF,107,4521,0.0
50,OFF,108,4466,0.0
50,OFF,109,4439,0.0
50,OFF,110,4441,0.0
50,OFF,111,4382,0.0
50,OFF,112,4370,0.0
50,OFF,113,4452,0.0
50,OFF,114,4475,0.0
50,OFF,115,4400,0.0
50,OFF,116,4443,0.0
50,OFF,117,4492,0.0
50,OFF,118,4317,0.0
50,OFF,119,4257,0.0
50,OFF,120,4314,0.0
50,OFF,121,4351,0.0
50,OFF,122,4330,0.0
50,OFF,123,4391,0.0
50,OFF,124,4406,0.0
50,OFF,125,4575,0.0
50,OFF,126,4490,0.0
50,OFF,127,4484,0.0
50,OFF,128,4328,0.0
50,OFF,129,4418,0.0
50,ON_unbounded,100,4706,34588036781.04733
50,ON_unbounded,101,4673,36372528071.49559
50,ON_unbounded,102,4737,35459603447.660126
50,ON_unbounded,103,4885,35085561615.28669
50,ON_unbounded,104,4801,35237722220.873665
50,ON_unbounded,105,4701,35072477347.17849
50,ON_unbounded,106,4718,36274943365.20185
50,ON_unbounded,107,4719,34601600389.210556
50,ON_unbounded,108,4819,33879410331.98185
50,ON_unbounded,109,4656,32906412152.418114
50,ON_unbounded,110,4854,37680618927.82007
50,ON_unbounded,111,4668,35409570138.658806
50,ON_unbounded,112,4796,35267235087.44062
50,ON_unbounded,113,4698,33995964178.180603
50,ON_unbounded,114,4723,33327947098.02621
50,ON_unbounded,115,4674,37402004113.67197
50,ON_unbounded,116,4834,36547805486.210976
50,ON_unbounded,117,4665,33839980058.582645
50,ON_unbounded,118,4553,35047892804.749504
50,ON_unbounded,119,4770,35033875144.691414
50,ON_unbounded,120,4760,35923453496.43656
50,ON_unbounded,121,4810,33875645186.637756
50,ON_unbounded,122,4738,37965245871.69739
50,ON_unbounded,123,4760,36271339223.9745
50,ON_unbounded,124,4837,35441223570.07651
50,ON_unbounded,125,4807,35549026539.050514
50,ON_unbounded,126,4727,34899629287.76834
50,ON_unbounded,127,4800,36201465183.27238
50,ON_unbounded,128,4758,36962868235.3567
50,ON_unbounded,129,4684,35861822170.65221
50,W12_both,100,4664,35707754495.795494
50,W12_both,101,4688,39841324320.76786
50,W12_both,102,4562,37586092360.247765
50,W12_both,103,4645,36374334710.81105
50,W12_both,104,4669,37239919982.83923
50,W12_both,105,4569,35630828525.04274
50,W12_both,106,4714,36639992724.52494
50,W12_both,107,4789,36422491111.47563
50,W12_both,108,4742,36873223596.99845
50,W12_both,109,4625,35068498177.97196
50,W12_both,110,4830,38056574826.12414
50,W12_both,111,4583,33910531074.85257
50,W12_both,112,4683,35869466397.48549
50,W12_both,113,4655,37344144836.4395
50,W12_both,114,4649,38661466620.921585
50,W12_both,115,4638,35780973061.79268
50,W12_both,116,4686,35062427074.336586
50,W12_both,117,4749,36972529443.517784
50,W12_both,118,4506,35202045610.57715
50,W12_both,119,4652,35291669681.07507
50,W12_both,120,4550,35172088962.754585
50,W12_both,121,4694,36460099642.4467
50,W12_both,122,4650,38047138122.31309
50,W12_both,123,4712,34763782485.23102
50,W12_both,124,4651,36693014695.068375
50,W12_both,125,4729,39289730041.88277
50,W12_both,126,4609,34577092722.40445
50,W12_both,127,4804,38478462372.00777
50,W12_both,128,4632,37254535028.1516
50,W12_both,129,4620,35227367429.88446
100,OFF,100,4332,0.0
100,OFF,101,4313,0.0
100,OFF,102,4309,0.0
100,OFF,103,4524,0.0
100,OFF,104,4474,0.0
100,OFF,105,4371,0.0
100,OFF,106,4351,0.0
100,OFF,107,4521,0.0
100,OFF,108,4466,0.0
100,OFF,109,4439,0.0
100,OFF,110,4441,0.0
100,OFF,111,4382,0.0
100,OFF,112,4370,0.0
100,OFF,113,4452,0.0
100,OFF,114,4475,0.0
100,OFF,115,4400,0.0
100,OFF,116,4443,0.0
100,OFF,117,4492,0.0
100,OFF,118,4317,0.0
100,OFF,119,4257,0.0
100,OFF,120,4314,0.0
100,OFF,121,4351,0.0
100,OFF,122,4330,0.0
100,OFF,123,4391,0.0
100,OFF,124,4406,0.0
100,OFF,125,4575,0.0
100,OFF,126,4490,0.0
100,OFF,127,4484,0.0
100,OFF,128,4328,0.0
100,OFF,129,4418,0.0
100,ON_unbounded,100,4627,35964780095.2529
100,ON_unbounded,101,4774,38356071226.37245
100,ON_unbounded,102,4873,36614436881.38027
100,ON_unbounded,103,4679,35368938807.73472
100,ON_unbounded,104,4794,34392917516.702034
100,ON_unbounded,105,4795,34754762596.539
100,ON_unbounded,106,4697,33690411453.827496
100,ON_unbounded,107,4852,37084818022.306915
100,ON_unbounded,108,5013,37568192428.69111
100,ON_unbounded,109,4652,35294470130.301125
100,ON_unbounded,110,4766,35502029140.96472
100,ON_unbounded,111,4761,36242412926.849846
100,ON_unbounded,112,4756,35208100207.58277
100,ON_unbounded,113,4725,34340670713.648697
100,ON_unbounded,114,4757,35513922550.23837
100,ON_unbounded,115,4782,35560208290.809784
100,ON_unbounded,116,4931,36883930602.42746
100,ON_unbounded,117,4702,34478017600.46426
100,ON_unbounded,118,4788,37591696880.90886
100,ON_unbounded,119,4739,33555490365.157932
100,ON_unbounded,120,4729,35865900809.12782
100,ON_unbounded,121,4665,34474462775.85233
100,ON_unbounded,122,4690,36550351265.89335
100,ON_unbounded,123,4760,33587962208.858738
100,ON_unbounded,124,4814,34519644729.196495
100,ON_unbounded,125,4679,35890923169.56371
100,ON_unbounded,126,4819,34886898787.5998
100,ON_unbounded,127,4907,37386628156.485374
100,ON_unbounded,128,4815,36737587127.68714
100,ON_unbounded,129,4727,35143861320.75652
100,W12_both,100,4495,34907950404.756226
100,W12_both,101,4729,39566141239.765915
100,W12_both,102,4595,35515292819.25067
100,W12_both,103,4734,36523079853.76729
100,W12_both,104,4649,35263650596.81918
100,W12_both,105,4523,35040692574.95253
100,W12_both,106,4720,34903505228.07182
100,W12_both,107,4576,35574169589.7201
100,W12_both,108,4717,38107242539.76851
100,W12_both,109,4741,37098550618.02482
100,W12_both,110,4611,36415551616.26261
100,W12_both,111,4813,37569543055.724655
100,W12_both,112,4608,34853049254.16633
100,W12_both,113,4513,35668963466.413956
100,W12_both,114,4676,36068896471.0328
100,W12_both,115,4681,35530386218.21428
100,W12_both,116,4620,34727323180.66444
100,W12_both,117,4627,37710538687.83082
100,W12_both,118,4613,38376978052.448685
100,W12_both,119,4673,36838369544.260956
100,W12_both,120,4809,38585240638.88218
100,W12_both,121,4609,34618728435.109024
100,W12_both,122,4594,35735550507.403435
100,W12_both,123,4648,34850137494.4486
100,W12_both,124,4742,36189593227.253105
100,W12_both,125,4655,36318597724.05236
100,W12_both,126,4742,36081602806.18131
100,W12_both,127,4741,36255692818.59521
100,W12_both,128,4644,38064556375.44222
100,W12_both,129,4609,35399756426.762474
200,OFF,100,4332,0.0
200,OFF,101,4313,0.0
200,OFF,102,4309,0.0
200,OFF,103,4524,0.0
200,OFF,104,4474,0.0
200,OFF,105,4371,0.0
200,OFF,106,4351,0.0
200,OFF,107,4521,0.0
200,OFF,108,4466,0.0
200,OFF,109,4439,0.0
200,OFF,110,4441,0.0
200,OFF,111,4382,0.0
200,OFF,112,4370,0.0
200,OFF,113,4452,0.0
200,OFF,114,4475,0.0
200,OFF,115,4400,0.0
200,OFF,116,4443,0.0
200,OFF,117,4492,0.0
200,OFF,118,4317,0.0
200,OFF,119,4257,0.0
200,OFF,120,4314,0.0
200,OFF,121,4351,0.0
200,OFF,122,4330,0.0
200,OFF,123,4391,0.0
200,OFF,124,4406,0.0
200,OFF,125,4575,0.0
200,OFF,126,4490,0.0
200,OFF,127,4484,0.0
200,OFF,128,4328,0.0
200,OFF,129,4418,0.0
200,ON_unbounded,100,4775,35821969131.681786
200,ON_unbounded,101,4844,37786077630.27151
200,ON_unbounded,102,4712,36357090639.02942
200,ON_unbounded,103,4795,36353226606.1465
200,ON_unbounded,104,4739,35862422666.02723
200,ON_unbounded,105,4712,37722201787.40057
200,ON_unbounded,106,4728,35802235543.32411
200,ON_unbounded,107,4615,33711916383.605606
200,ON_unbounded,108,4803,36681049862.37106
200,ON_unbounded,109,4696,32349243934.66829
200,ON_unbounded,110,4860,37618929758.37642
200,ON_unbounded,111,4867,36524387272.52914
200,ON_unbounded,112,4777,35021886272.73749
200,ON_unbounded,113,4731,35629837106.33281
200,ON_unbounded,114,4886,38035009527.41646
200,ON_unbounded,115,4617,33947366212.944424
200,ON_unbounded,116,4922,35626995315.490524
200,ON_unbounded,117,4770,36775532444.17547
200,ON_unbounded,118,4767,35066333059.56788
200,ON_unbounded,119,4694,34558390179.025024
200,ON_unbounded,120,4612,35679612617.65554
200,ON_unbounded,121,4755,36696247141.938126
200,ON_unbounded,122,4772,36930762443.36255
200,ON_unbounded,123,4802,34581226146.99914
200,ON_unbounded,124,4760,34723259453.20716
200,ON_unbounded,125,4744,36657035725.85615
200,ON_unbounded,126,4878,37160521176.21877
200,ON_unbounded,127,4723,36053977636.08076
200,ON_unbounded,128,4577,35110490233.36115
200,ON_unbounded,129,4857,36446349892.26561
200,W12_both,100,4622,35916521011.64233
200,W12_both,101,4694,36502568245.27083
200,W12_both,102,4557,36117774780.72928
200,W12_both,103,4861,38174507394.83292
200,W12_both,104,4695,36905585638.69679
200,W12_both,105,4597,35323659781.70918
200,W12_both,106,4697,38054254092.91078
200,W12_both,107,4732,37586859536.690125
200,W12_both,108,4707,36092667405.69047
200,W12_both,109,4683,35663463300.68812
200,W12_both,110,4690,37990572818.21304
200,W12_both,111,4604,35154439426.123856
200,W12_both,112,4727,37082995155.26314
200,W12_both,113,4668,36808575223.05743
200,W12_both,114,4607,34760343454.7763
200,W12_both,115,4698,36504824907.32977
200,W12_both,116,4680,34942787329.47567
200,W12_both,117,4692,35070264894.82922
200,W12_both,118,4563,36944254421.56813
200,W12_both,119,4681,37379487494.31382
200,W12_both,120,4692,38125759997.562164
200,W12_both,121,4500,33715539270.89144
200,W12_both,122,4728,38584582165.662674
200,W12_both,123,4648,35808714876.25101
200,W12_both,124,4794,38739716774.65669
200,W12_both,125,4620,35097783780.870605
200,W12_both,126,4580,36801252965.75372
200,W12_both,127,4866,37810394663.50042
200,W12_both,128,4569,37797594929.5196
200,W12_both,129,4605,35417833206.51694
