pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
0,PJM||hawkins gate / oak grove 230 kv,PJM||bayonne,1999Q3,1,1,PJM,Gas,1
1,PJM||lasalle,PJM||beaver valley #1,2012Q1,1,1,PJM,Nuclear,1
2,PJM||heartsease dp mayo dunbar 115 kv,PJM||64th st 13 kv,2019Q3,1,1,PJM,Solar,1
3,CAISO||colorado river substation 230 kv bus,CAISO||angiola substation 70 kv bus,2012Q1,1,1,CAISO,Solar,4
4,PJM||lexington dooms 230 kv,PJM||abw tap alexandria 46 kv,2024Q2,1,1,PJM,Solar,2
5,PJM||keystone conemaugh 500 kv,PJM||bald eagle 46 kv,2016Q2,1,1,PJM,Gas,1
6,PJM||dresden,PJM||braidwood 1,2013Q1,1,1,PJM,Nuclear,1
7,PJM||possum point 230 kv,PJM||arnold 115 kv,2009Q2,2,1,PJM,Battery,1
8,CAISO||henrietta gwf 115 kv line,CAISO||cottonwind whirlwind 230 kv line,2013Q2,2,2,CAISO,Solar,2
9,PJM||cowen 138 kv,PJM||abw tap williamsburg 46 kv,2024Q4,1,1,PJM,Solar,1
10,PJM||jenkins harwood #2 69 kv,PJM||arnold (green mountain) 115 kv,2005Q2,1,1,PJM,Wind,1
11,CAISO||giffen substation 70 kv,CAISO||alpaugh smyrna 115 kv line,2012Q2,1,1,CAISO,Solar,1
12,PJM||motion ridgeway 46 kv,PJM||adkins atlanta 345 kv,2021Q1,1,1,PJM,Solar,1
13,CAISO||lugo pisgah 230 kv line,CAISO||crestwood,2008Q4,3,2,CAISO,Wind,2
14,PJM||wrightstown 345 kv,PJM||absecon 12 kv,2016Q2,1,1,PJM,Solar,2
15,PJM||bayview,PJM||allenwood larabee 345 kv,2011Q3,1,1,PJM,Solar,1
16,PSCo||pawnee daniels park 230 kv line,PSCo||keenesburg substation,2005Q2,2,2,PSCo,Wind,1
17,PJM||davis creek 345 kv,PJM||fostoria central greenlawn howard 138 kv,2019Q2,2,2,PJM,Wind,3
18,CAISO||loop tesla stagg and tesla eight mile 230 kv lines,CAISO||115 kv panoche substation,2008Q2,1,1,CAISO,Gas,1
19,PSCo||badger hill 230 kv substation,PSCo||badger hill 230 kv,2020Q1,1,1,PSCo,Battery,1
20,ISO-NE||eversource north bloomfield 2a,ISO-NE||115 kv b128 line; 1888 miles from barre b128 and 53 miles from french king,2022Q2,1,1,ISO-NE,Battery,1
21,PJM||calvert cliffs,PJM||north anna 500 kv,2007Q1,1,1,PJM,Nuclear,1
22,PJM||hector 115 kv,PJM||ada dunkirk 69 kv,2024Q4,1,1,PJM,Wind,1
23,PJM||north salisbury 25 kv,PJM||4 quad c18 kv qc 1 981 cres 138 kv providwf,2017Q2,1,1,PJM,Other,1
24,PJM||cashie trowbridge 230 kv,PJM||academia 138 kv,2022Q2,1,1,PJM,Solar,1
25,PJM||lena 138 kv,PJM||bluff point randolph 138 kv,2023Q2,4,4,PJM,Solar,1
26,PJM||white marsh 345 kv,PJM||airey golden hill 69 kv,2024Q2,1,1,PJM,Battery,1
27,PJM||perth crystal hill 115 kv,PJM||ac1 053 tap 345 kv (cir increase),2023Q4,1,1,PJM,Solar,1
28,PJM||frazeysburg 138 kv,PJM||altavista mount airy 69 kv,2017Q2,1,1,PJM,Solar,1
29,PJM||north orwell 1247 kv,PJM||airey vienna 69 kv,2021Q1,1,1,PJM,Solar,1
30,SOCO||smith sinai cemetary 230 kv line,SOCO||acipco boyles 115 kv line,2017Q3,1,1,SOCO,Solar,1
31,PJM||summer shade 161 kv,PJM||albright mount zion 138 kv,2024Q4,1,1,PJM,Solar,1
32,PJM||cooper 345 kv,PJM||allegheny somerset 115 kv,2024Q3,1,1,PJM,Solar,1
33,PJM||quinton 12 kv,PJM||beecher energy distribution cener #36,2011Q1,1,1,PJM,Other,1
34,ERCOT||8189 tungsten 138 kv,ERCOT||#1058 longshore_5 345 kv,2024Q3,1,1,ERCOT,Solar,1
35,PJM||kincaid 345 kv,PJM||brunner island #1,2012Q2,1,1,PJM,Coal,1
36,PJM||cedar 69 kv,PJM||airey vienna 69 kv ii,2024Q2,1,1,PJM,Battery,1
37,ERCOT||68090 sam switch 345 kv,ERCOT||11305 dermott 345 kv,2018Q3,1,1,ERCOT,Wind,1
38,PJM||madison tanners creek 138 kv,PJM||brokaw lanesville,2018Q1,3,3,PJM,Wind,1
39,PJM||lumberton 13 kv,PJM||alpha gilbert 34 kv,2012Q2,1,1,PJM,Solar,1
40,PJM||tazewell ab1 122 345 kv,PJM||baker 138 kv,2024Q4,1,1,PJM,Wind,1
41,PJM||campbell kiesters 138 kv,PJM||allegheny somerset 115 kv ii,2024Q3,1,1,PJM,Solar,1
42,PJM||branchville holiday lakes 345 kv,PJM||broadway stewartsville 345 kv,2012Q2,2,2,PJM,Solar,1
43,SOCO||greenville snowdoun 230 kv line,SOCO||barneyville douglas 115 kv line,2018Q3,1,1,SOCO,Solar,1
44,PJM||titusville oil creek 345 kv,PJM||allenwood larrabee 2 345 kv,2023Q1,1,1,PJM,Solar,1
45,PJM||arnold's corner dahlgren 230 kv,PJM||allenwood larrabee 345 kv ii,2024Q2,1,1,PJM,Battery,1
46,PJM||atlantic 230 kv,PJM||9th st (substation 117) 13 kv,2001Q3,1,1,PJM,Gas,1
47,PJM||ladysmith ct st johns 230 kv,PJM||almena valley 69 kv,2023Q3,1,1,PJM,Solar,2
48,PJM||rogers road 500 kv,PJM||baker broadford 765 kv,2024Q2,2,2,PJM,Battery,1
49,CAISO||elk creek 60 kv tap,CAISO||antelope neenach 66 kv line,2012Q2,1,1,CAISO,Solar,1
50,PJM||linden 230 kv,PJM||adkins 345 kv,2013Q4,1,1,PJM,Gas,1
51,PJM||birdsboro 69 kv,PJM||bergen 138 kv,2002Q2,1,1,PJM,Gas,1
52,CAISO||arco substation 70 kv,CAISO||eldorado ivanpah 230 kv line,2015Q1,2,2,CAISO,Solar,1
53,ERCOT||tap 345 kv 8905 n edinb 8455 lon hill,ERCOT||71050 bitter creek 345 kv,2019Q2,3,3,ERCOT,Wind,2
54,PJM||branchville sussex 34 kv,PJM||beckjord 2 mw 1,2014Q4,1,1,PJM,Battery,1
55,PJM||olive reynolds 345 kv,PJM||beatty london 138 kv,2019Q1,2,2,PJM,Solar,1
56,CAISO||imperial valley substation 230 kv bus,CAISO||antelope magunden 230 kv,2008Q4,1,1,CAISO,Solar,1
57,PJM||stockton 345 kv,PJM||alta haute tuscarora 69 kv,2020Q4,1,1,PJM,Solar,1
58,ERCOT||1338 eskota 138 kv,ERCOT||110471 formosa 138 kv,2020Q4,1,1,ERCOT,Solar,1
59,PJM||biers run circleville 138 kv,PJM||hardin switch 345 kv,2020Q1,4,4,PJM,Solar,1
60,PJM||edgemoor 230 kv,PJM||black oak 500 kv,2004Q4,1,1,PJM,Gas,1
61,ERCOT||tap 138 kv 177 bosque 181 cayote,ERCOT||1032 morgan creek 138 kv,2018Q3,1,1,ERCOT,Solar,1
62,CAISO||colorado river substation 230 kv,CAISO||jacobs corner substation 70 kv bus,2011Q2,4,3,CAISO,Solar,1
63,PJM||hopkins 138 kv,PJM||meadow lake 345 kv,2024Q4,6,6,PJM,Solar,1
64,PJM||missouri ave,PJM||carlls corner 69 kv,2008Q1,1,1,PJM,Oil,1
65,CAISO||el dorado 220 kv switchyard,CAISO||antelope substation,2008Q4,1,1,CAISO,Solar,1
66,CAISO||bridgeville substation 115 kv,CAISO||new switchyard to loop the eco miguel 500 kv line,2020Q2,1,1,CAISO,Wind+Battery,1
67,ISO-NE||cvps 46 kv circuit in springfield area,ISO-NE||115 kv line near e springfield substation,2009Q1,1,1,ISO-NE,Other,1
68,PJM||earleys 230 kv,PJM||anaconda mayo dunbar 115 kv,2016Q2,1,1,PJM,Solar,1
69,CAISO||antelope substation 220 kv,CAISO||antelope substation 230 kv,2022Q4,2,2,CAISO,Battery,1
70,PJM||thompson 115 kv,PJM||greenland gap 500 kv,2006Q3,2,2,PJM,Wind,1
71,PJM||hughesville 12 kv,PJM||allen rp mone 345 kv,2022Q1,1,1,PJM,Solar,1
72,PJM||mainesburg 115 kv,PJM||allenwood larrabee 34 kv,2022Q1,1,1,PJM,Battery,1
73,PJM||fentress 345 kv,PJM||antietam 345 kv,2017Q4,1,1,PJM,Solar,1
74,SOCO||claxton ludowici primary 115 kv line,SOCO||augusta newsprint vogtle switching 230 kv line,2019Q2,1,1,SOCO,Solar,1
75,PJM||minonk 345 kv,PJM||amherst riverville 138 kv,2024Q2,1,1,PJM,Battery,1
76,PJM||harmony village 230 kv,PJM||blue mound 345 kv,2023Q3,3,3,PJM,Battery,1
77,SOCO||county line road gaston 230 kv line,SOCO||anniston weaver (radial) 115 kv line,2021Q3,1,1,SOCO,Solar+Battery,1
78,SOCO||calvert substation ellicott substation no 2 230 kv line,SOCO||burkville substation hunter station substation 115 kv line,2023Q3,1,1,SOCO,Solar+Battery,2
79,SOCO||greene county octagon 115 kv line,SOCO||aultman road perry 115 kv line,2016Q4,1,1,SOCO,Solar,1
80,PJM||keeney steele 230 kv,PJM||allegheny 115 kv,2020Q2,1,1,PJM,Solar,1
81,PJM||hillsboro 138 kv,PJM||brink trego 115 kv,2017Q4,4,3,PJM,Solar,4
82,ERCOT||8601 cebolla 345 kv,ERCOT||#6564 illn4a 138 kv,2024Q1,2,2,ERCOT,Battery,1
83,PJM||powhatan 345 kv,PJM||amsden fremont center 69 kv,2021Q1,2,2,PJM,Solar,1
84,SOCO||plant wansley substation 500 kv bus,SOCO||yates 6 & 7 substation 230 kv bus,2024Q2,4,3,SOCO,Gas,2
85,PJM||parlin 230 kv,PJM||bethesda (substation 6),2002Q2,1,1,PJM,Gas,1
86,PJM||montour 230 kv,PJM||harmony village shackleford 115 kv,2023Q4,10,11,PJM,Solar,1
87,CAISO||coolwater substation 115 kv,CAISO||antelope 220 kv bus,2019Q1,1,1,CAISO,Battery,1
88,ERCOT||tap 345 kv 76002 bakersfield 76000 nmccamey,ERCOT||11083 riverton 138 kv,2019Q3,1,1,ERCOT,Solar,1
89,PJM||geneva 115 kv,PJM||bartonsville meadow brook 138 kv,2021Q2,2,2,PJM,Solar,1
90,PJM||olive reynolds #2 345 kv,PJM||allen 345 kv,2020Q3,3,3,PJM,Solar,1
91,SOCO||east chelsea lay dam 115 kv line,SOCO||achord road dirt road 115 kv line,2023Q2,1,1,SOCO,Solar,1
92,CAISO||gates midway 230 kv line,CAISO||arco midway 230 kv line,2020Q2,1,1,CAISO,Solar+Battery,1
93,PJM||bakers pond ivor 115 kv,PJM||arnold's corner 345 kv,2017Q3,1,1,PJM,Solar,1
94,CAISO||gates substation 230 kv,CAISO||kramer 230 kv,2016Q3,3,3,CAISO,Solar+Battery,1
95,PJM||fitchville new london 69 kv,PJM||american can basf 345 kv,2024Q4,1,1,PJM,Solar,1
96,PJM||braidwood cook,PJM||4 quad cities 1 ni hub,2013Q2,1,1,PJM,Other,1
97,SOCO||snowdoun south montgomery 230 kv line,SOCO||baxley vidalia 115 kv line,2019Q3,1,1,SOCO,Solar,2
98,SOCO||hatch offerman 230 kv line,SOCO||bio substation 115 kv bus,2017Q3,1,1,SOCO,Solar,1
99,PJM||burlington 138 kv,PJM||atlantic,2002Q1,1,1,PJM,Gas,1
100,PJM||barterbrook stuarts draft 115 kv,PJM||brandon shores 230 kv,2021Q1,2,2,PJM,Battery,1
101,PJM||martins creekcherry hill 69 kv,PJM||altoona raystown 230 kv iii,2023Q3,1,1,PJM,Solar,1
102,PJM||belvidere,PJM||ak steel middletown ak steel 1c 138 kv,2012Q2,1,1,PJM,Gas,1
103,PJM||union city cambridge springs 345 kv,PJM||altamont tuscarora 69 kv,2020Q3,1,1,PJM,Solar,1
104,PJM||greene beatty 345 kv,PJM||amherst riverville138 kv,2024Q4,1,1,PJM,Solar,1
105,PJM||barbadoes 34 kv,PJM||alpha 345 kv,2018Q3,1,1,PJM,Battery,1
106,PJM||westmoreland 345 kv,PJM||atlantic oceanview 34 kv,2017Q2,1,1,PJM,Battery,1
107,PJM||montgomery 12 kv,PJM||amherst 69 kv,2024Q1,1,1,PJM,Solar,1
108,CAISO||lugo pisgah 230 kv,CAISO||arco substation 230 kv,2024Q4,3,3,CAISO,Solar+Battery,1
109,CAISO||johanna substation 230 kv,CAISO||avocado substation 69 kv,2019Q3,1,1,CAISO,Battery,1
110,CAISO||etiwanda substation 230 kv,CAISO||lamont 115 kv,2022Q4,3,3,CAISO,Battery,1
111,PJM||todds tavern spotsylvania/goldsdale 115 kv,PJM||appomattox esc,2023Q1,1,1,PJM,Battery,1
112,PJM||williamstown 12 kv,PJM||andover kittatinny #2 345 kv,2011Q1,1,1,PJM,Solar,2
113,CAISO||rio hondo substation 230 kv,CAISO||atlantic 60 kv,2020Q3,1,1,CAISO,Battery,1
114,PJM||robinson 69 kv,PJM||adams seaman 69 kv,2024Q4,1,1,PJM,Solar+Battery,2
115,PJM||lexington 115 kv,PJM||arnolds corner 345 kv,2024Q2,1,1,PJM,Battery,1
116,PJM||goddard plumville 138 kv,PJM||apple valley 138 kv,2024Q3,1,1,PJM,Solar,1
117,PJM||monterey 69 kv,PJM||baileyville wind farm,2004Q1,1,1,PJM,Wind,2
118,PJM||keystone 500 kv,PJM||bergen,2002Q1,2,2,PJM,Gas,2
119,CAISO||mesa 230 kv,CAISO||belotta 115 kv,2019Q1,1,1,CAISO,Battery,1
120,PJM||mcdowell 138 kv,PJM||altoona raystown 230 kv,2022Q1,1,1,PJM,Solar,1
121,PJM||heritage wake 500 kv,PJM||ad1 100 345 kv (cir increase),2024Q4,2,2,PJM,Solar,1
122,PJM||dresden pontiac midpoint 345 kv,PJM||apple grove 138 kv,2024Q2,2,2,PJM,Solar,1
123,PJM||laurel mountain 138 kv,PJM||boxwood riverville 138 kv,2024Q4,2,2,PJM,Battery,1
124,PJM||surry hopewell 230 kv,PJM||cashie 230 kv,2024Q2,2,2,PJM,Solar+Battery,1
125,PJM||hamilton 115 kv,PJM||anaconda dunbar 115 kv,2022Q1,1,1,PJM,Solar,1
126,PJM||reynolds olive #1 345 kv,PJM||cherry ridge 66 kv,2024Q4,3,3,PJM,Solar,1
127,CAISO||vincent substation,CAISO||blm west kramer 230 kv line,2008Q4,1,1,CAISO,Solar,1
128,PJM||berry hill 138 kv,PJM||chinquapin 230 kv,2021Q1,2,2,PJM,Battery,1
129,PJM||boykins 345 kv,PJM||s cumberland 69 kv,2015Q3,3,3,PJM,Solar,1
130,SOCO||sylvania waynesboro primary 115 kv line,SOCO||claxton statesboro primary 115 kv line,2019Q3,1,1,SOCO,Solar,1
131,SOCO||anniston (apc) hammond 230 kv line,SOCO||bonaire primary butler 230 kv line,2021Q3,2,2,SOCO,Solar,2
132,ISO-NE||cmp section 3023 345 kv line (via johnson mountain substation),ISO-NE||115 kv line 229,2018Q2,1,1,ISO-NE,Wind,1
133,ISO-NE||pittsfield 345 kv,ISO-NE||115 kv rumford substation,2018Q2,1,1,ISO-NE,Wind,5
134,PSCo||boone 115 kv substation,PSCo||green valley substation 230 kv,2019Q1,2,2,PSCo,Solar,1
135,ERCOT||46220 peters 138 kv,ERCOT||10002 ns crane switch 138 kv,2022Q1,1,1,ERCOT,Battery,1
136,PJM||kewanee 138 kv,PJM||adams allen 138 kv,2012Q2,1,1,PJM,Wind,1
137,PJM||millville old chapel 138 kv,PJM||arrington circuit 1247 kv,2024Q4,1,1,PJM,Solar,2
138,PJM||wye mills 25 kv,PJM||balls gap 345 kv,2018Q2,1,1,PJM,Battery,1
139,ERCOT||79506 abernathy 345 kv,ERCOT||11319 scosw scurrycounty 138 kv,2019Q1,1,1,ERCOT,Wind,1
140,CAISO||windhub substation 230 kv,CAISO||midway temblor 115 kv line,2008Q4,2,2,CAISO,Solar+Battery,1
141,PJM||watkins corner 345 kv,PJM||ashfield 12 kv,2024Q3,1,1,PJM,Solar,1
142,PJM||adams 138 kv,PJM||cashie earleys 230 kv,2024Q2,4,4,PJM,Solar,1
143,PJM||hillsboro wye mills 138 kv,PJM||ashtabula county pv project 1,2024Q4,1,1,PJM,Solar,1
144,CAISO||eldorado baker cool water dunn siding mountain pass 115 kv line,CAISO||camino iron mountain 230 kv line,2008Q2,3,2,CAISO,Solar,1
145,CAISO||mustang switching station 230 kv,CAISO||colorado river substation 220 kv,2017Q3,2,2,CAISO,Solar+Battery,1
146,PJM||hunterstown 500 kv,PJM||basin 230 kv,2016Q2,1,1,PJM,Gas,1
147,CAISO||cameron substation 69 kv,CAISO||arco twisselman 70 kv,2015Q1,1,1,CAISO,Solar,1
148,CAISO||harquahala substation 500 kv,CAISO||66 kv windhub substation,2011Q3,1,1,CAISO,Solar,1
149,PJM||hillcrest 138 kv,PJM||andover kittatinny 34 kv,2015Q2,1,1,PJM,Solar,1
150,CAISO||delaney substation 500 kv,CAISO||midway 115 kv,2021Q1,2,2,CAISO,Solar+Battery,1
151,PJM||gladstone 138 kv,PJM||argenta twin branch 345 kv,2024Q4,2,2,PJM,Solar,1
152,ERCOT||68008 latimer 345 kv,ERCOT||1064 sun 138 kv,2021Q1,1,1,ERCOT,Wind,1
153,PJM||chesterfield 230 kv,PJM||buckingham farmville 230 kv,2024Q4,4,4,PJM,Battery,1
154,PJM||birchwood nug 230 kv,PJM||bridgeport 230 kv,2024Q4,2,2,PJM,Battery,1
155,PJM||pendleton tanners creek 138 kv,PJM||ashtabula county pv project 2,2024Q2,1,1,PJM,Solar,1
156,ERCOT||79503 tule canyon 345 kv,ERCOT||42400 refuge 345 kv,2018Q3,2,2,ERCOT,Wind,1
157,PJM||phillipsburg,PJM||applegarth 125 kv,2011Q3,1,1,PJM,Solar,1
158,PSCo||midway substation 115 kv,PSCo||alamosa substation,2020Q1,1,1,PSCo,Solar,1
159,PJM||hickory 345 kv,PJM||argonne new lisbon 345 kv,2016Q3,1,1,PJM,Solar,1
160,PJM||north temple 230 kv,PJM||big sandy 138 kv,2009Q1,1,1,PJM,Gas,1
161,PJM||laurel 69 kv,PJM||absecon 1247 kv,2020Q1,1,1,PJM,Solar,1
162,PJM||kincaid pana,PJM||athenia 26 kv,2024Q2,1,1,PJM,Battery,2
163,PJM||avon north clark 345 kv,PJM||bearrock johnstown 230 kv,2023Q3,2,2,PJM,Solar,1
164,SOCO||colerain thalmann 230 kv line,SOCO||baxley jesup 115 kv line,2018Q4,1,1,SOCO,Solar,1
165,PJM||branchville sussex 345 kv,PJM||asbury,2011Q3,1,1,PJM,Solar,1
166,ERCOT||80219 lobo 345 kv,ERCOT||11406 central bluff 345 kv,2020Q3,2,2,ERCOT,Solar,1
167,PJM||brunswick gasburg 69 kv,PJM||atlanta 69 kv iii,2024Q2,1,1,PJM,Solar,2
168,CAISO||encina substation 138 kv,CAISO||115 kv rosedale substation,2016Q1,1,1,CAISO,Battery,1
169,PJM||buckskin 69 kv,PJM||buggs island chase city 115 kv,2018Q1,4,3,PJM,Solar,1
170,PJM||windsor 138 kv,PJM||bayonne 138 kv,2005Q4,1,1,PJM,Gas,1
171,PJM||palmer springs 115 kv,PJM||eagle road 138 kv,2024Q2,3,3,PJM,Battery,4
172,PJM||elm st 115 kv,PJM||bethlehem steel 33 kv,2000Q4,1,1,PJM,Gas,1
173,PJM||davis creek 138 kv,PJM||atlanta 69 kv iv,2017Q4,1,1,PJM,Solar,1
174,ISO-NE||eversource 345 kv west barnstable (921),ISO-NE||eversource (cl&p) millstone 345 kv substation,2024Q4,2,2,ISO-NE,Offshore Wind,1
175,PJM||smithfield 345 kv,PJM||allentown booster 138 kv,2018Q3,1,1,PJM,Solar,1
176,PJM||cookstown 345 kv,PJM||baptistown 12 kv,2010Q4,1,1,PJM,Solar,1
177,PJM||sorenson 345 kv,PJM||delaware van buren 138 kv,2024Q4,5,5,PJM,Solar,2
178,PJM||sapony 345 kv,PJM||cole 345 kv,2024Q4,3,3,PJM,Solar,1
179,PJM||frackville siegfried 230 kv,PJM||albright cross school 138 kv,2019Q2,1,1,PJM,Hydro,1
180,PJM||heidelberg 69 kv,PJM||auburn 69 kv,2024Q4,1,1,PJM,Solar,1
181,PJM||sunbury 500 kv,PJM||aurora 345 kv,2020Q1,1,1,PJM,Gas,1
182,SOCO||ray place road union point primary 115 kv line,SOCO||anthony shoals washington 115 kv line,2024Q2,1,1,SOCO,Solar,1
183,SOCO||east bainbridge spring creek (black) 115 kv line,SOCO||bouldin dam forbes road 115 kv line,2016Q3,1,1,SOCO,Solar,1
184,CAISO||mesa substation 230 kv,CAISO||alamitos 220 kv,2021Q2,1,1,CAISO,Battery,1
185,SOCO||north tifton pitts 230 kv line,SOCO||fortson north tifton 500 kv line,2019Q3,4,4,SOCO,Solar,1
186,PJM||imperial joffre 138 kv,PJM||aurora ec 138 kv,2024Q4,1,1,PJM,Battery,1
187,PJM||southampton handsom 115 kv,PJM||beatty greene 345 kv,2022Q4,2,2,PJM,Solar,1
188,SOCO||athena center primary 230 kv line,SOCO||center primary 230 kv substation,2008Q4,1,1,SOCO,Gas,1
189,PSCo||mirasol 230 kv substation,PSCo||missile site 230 kv substation,2022Q3,3,2,PSCo,Solar,1
190,SOCO||barry lucedale 115 kv line,SOCO||eatonton primary porterdale primary 230 kv line,2022Q4,2,2,SOCO,Solar,1
191,PJM||bismark doubs 500 kv,PJM||arrowhead 12 kv,2022Q2,1,1,PJM,Solar,1
192,PJM||hanging rock 765 kv,PJM||andrew shaft 84 junction 25 kv,2015Q2,1,1,PJM,Gas,1
193,PJM||eagle point 230 kv,PJM||alabama 138 kv,2011Q1,1,1,PJM,Gas,1
194,PJM||snake spring 115 kv iii,PJM||avon renaker 138 kv,2023Q3,1,1,PJM,Solar,1
195,PJM||kings dominion dp 115 kv,PJM||campbelltown millars quarry 69 kv,2020Q2,3,3,PJM,Solar,2
196,PSCo||comanche daniels park 345 kv line,PSCo||cherokee substation,2020Q1,1,1,PSCo,Gas,1
197,PJM||raritan river 230 kv,PJM||chalk point bowie 230 kv,2013Q2,2,2,PJM,Gas,1
