pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
589,CAISO||tranquility switching station 230 kv,CAISO||bitterwater switching station 230 kv,2018Q2,1,1,CAISO,Solar+Battery,1
590,PJM||atlanta 69 kv i,PJM||bethelboro 25 kv 5,2024Q1,1,1,PJM,Solar,1
591,PJM||lexington park 69 kv,PJM||chinquapin everetts 230 kv,2020Q3,2,2,PJM,Solar,1
592,PJM||jetersville ponton 115 kv,PJM||mississinewa gaston 138 kv,2023Q3,4,4,PJM,Solar,1
593,PJM||rocktown 48 kv,PJM||buckeye ringoes 345 kv,2015Q4,1,1,PJM,Solar,1
594,CAISO||borden substation 70 kv,CAISO||el cajon substation 69 kv,2018Q1,1,1,CAISO,Battery,1
595,CAISO||panoche substation 115 kv,CAISO||calcite 230 kv line,2019Q1,1,1,CAISO,Solar+Battery,1
596,PJM||blue jacket kirby 138 kv,PJM||church wye mills 138 kv,2020Q3,2,2,PJM,Solar,1
597,ISO-NE||cmp sturtevant substation 115 kv,ISO-NE||115 kv coolidge substation,2016Q3,1,1,ISO-NE,Solar,1
598,PJM||newburgh 12 kv,PJM||blairstown kittatinny 345 kv,2010Q4,1,1,PJM,Solar,1
599,SOCO||hattiesburg southwest adams creek 230 kv line,SOCO||jasper east substation substation 230 kv bus,2024Q1,4,3,SOCO,Solar,1
600,ERCOT||60090 wkn breaker 69 kv,ERCOT||# 7044 marion 345 kv,2024Q2,1,1,ERCOT,Battery,1
601,CAISO||mira loma substation 230 kv,CAISO||los banos 230 kv,2021Q2,5,4,CAISO,Battery,1
602,PJM||lynnville south hamburg 69 kv,PJM||bishopville worcester 138 kv,2024Q4,1,1,PJM,Solar,1
603,PJM||lawrence 26 kv,PJM||branchville newton 345 kv,2012Q1,1,1,PJM,Solar,1
604,PJM||bear creek 69 kv,PJM||camp grove,2004Q1,1,1,PJM,Wind,1
605,SOCO||autaugaville substation 500 kv bus,SOCO||wansley 500 kv substation,2004Q2,1,1,SOCO,Gas,1
606,PJM||pontiac midpoint dresden,PJM||dixon 12 kv,2022Q1,1,1,PJM,Other,1
607,PJM||printz,PJM||bay shore 138 kv,2013Q3,1,1,PJM,Gas,1
608,SOCO||thurlow dam union springs 115 kv line,SOCO||coosa pines logan martin dam no 2 115 kv line,2021Q2,1,1,SOCO,Solar,1
609,PJM||somerset allegheny 115 kv,PJM||beryl 138 kv,2005Q2,1,1,PJM,Wind,2
610,PJM||hanna tanners creek 345 kv,PJM||chase city lunenburg 115 kv,2024Q4,2,2,PJM,Solar,1
611,SOCO||sinai west grand ridge 115 kv line,SOCO||burkville hunter station 115 kv line,2018Q3,1,1,SOCO,Solar,1
612,CAISO||devers palo verde 500 kv line,CAISO||lugo mojave 500 kv line,2008Q4,2,2,CAISO,Solar,1
613,PSCo||pawnee substation 345 kv,PSCo||jackson fuller substation,2022Q3,2,1,PSCo,Wind,3
614,CAISO||victor substation 230 kv,CAISO||bair substation 60 kv bus,2018Q3,1,1,CAISO,Battery,1
615,PJM||rockwood 23 kv,PJM||big sandy inez 138 kv,2023Q3,1,1,PJM,Solar,2
616,CAISO||woodland davis 115 kv line,CAISO||gates gregg 230 kv and gates mccall 230 kv,2012Q3,1,1,CAISO,Solar+Battery,1
617,CAISO||borden substation 230 kv bus,CAISO||eastshore substation 230 kv,2011Q1,3,2,CAISO,Gas,1
618,PJM||gretna dp 69 kv,PJM||bionol madera 115 kv,2019Q3,1,1,PJM,Solar,1
619,CAISO||diablo canyon 500 kv,CAISO||humboldt substation 115 kv,2024Q2,2,2,CAISO,Offshore Wind,1
620,SOCO||mitchell moultrie 115 kv line,SOCO||mitchell raccoon creek 230 kv line,2022Q1,2,2,SOCO,Solar,1
621,PJM||valley 230 kv,PJM||boydton dp 115 kv,2024Q2,1,1,PJM,Battery,1
622,PJM||hamlin 12 kv,PJM||bixby biers run 345 kv,2024Q1,1,1,PJM,Solar,1
623,PSCo||fort st vrain substation,PSCo||fort st vrain ⊓niwot 230 kv line,2010Q4,1,1,PSCo,Gas,1
624,PJM||flemingsburg spurlock 138 kv,PJM||deepwater upper pittsgrove 138 kv,2024Q3,3,3,PJM,Solar,1
625,PJM||allen 132 kv,PJM||chatfield howard 138 kv,2023Q2,2,2,PJM,Solar,1
626,PJM||potter gold 115 kv,PJM||avery greenfield 138 kv,2013Q2,1,1,PJM,Wind,1
627,PJM||morgantown,PJM||altavista 115 kv,2011Q2,1,1,PJM,Other,1
628,ERCOT||tap 345 kv 11028 odessa 76000 n mccamey,ERCOT||68051 reata 345 kv,2019Q2,2,2,ERCOT,Solar,1
629,CAISO||carrizo gorge switchyard 138 kv,CAISO||bellota 230 kv,2024Q3,1,1,CAISO,Battery,1
630,PJM||st barnabas 13 kv,PJM||blain 115 kv,2019Q3,1,1,PJM,Solar,2
631,PJM||desoto tanners creek 345 kv,PJM||davis besse beaver 345 kv,2016Q3,1,1,PJM,Wind,1
632,SOCO||eastman primary hatch 230 kv line,SOCO||champion flomaton 115 kv line,2017Q2,1,1,SOCO,Solar,1
633,PJM||cedar 230 kv,PJM||bayview 25 kv,2012Q1,1,1,PJM,Offshore Wind,1
634,ERCOT||tap 345 kv 6101 riley 1730 w krum,ERCOT||1301 willow valley 138 kv,2019Q1,1,1,ERCOT,Wind,1
635,SOCO||holmes creek pinckard 230 kv line,SOCO||calvert substation substation 230 kv bus,2023Q3,1,1,SOCO,Solar,1
636,PJM||chase city drakes branch 115 kv,PJM||bremo 115 kv,2024Q4,1,1,PJM,Battery,1
637,PJM||erie east 230 kv,PJM||wempletown belvidere 138 kv,2012Q2,2,2,PJM,Wind,1
638,SOCO||kathleen pitts 230 kv line,SOCO||thalmann ts 230 kv bus,2024Q2,3,3,SOCO,Solar,2
639,PJM||watson 1247 kv,PJM||guilford 1247 kv,2020Q1,3,2,PJM,Solar+Battery,1
640,PSCo||comanche daniels park 345 kv,PSCo||midway 115 kv substation,2020Q1,1,1,PSCo,Battery,1
641,PJM||quinton 69 kv,PJM||brick,2011Q2,1,1,PJM,Solar,1
642,ERCOT||60722 coulomb 345 kv,ERCOT||138 kv 60728 palouse,2019Q4,1,1,ERCOT,Wind,1
643,SOCO||americus dawson primary 115 kv line,SOCO||caverns substation 115 kv bus,2018Q3,1,1,SOCO,Solar,1
644,PJM||westmoreland oak grove 230 kv,PJM||church oil city 138 kv,2024Q2,2,2,PJM,Solar,1
645,PJM||graceton 230 kv,PJM||dolfield,2003Q4,1,1,PJM,Gas,1
646,SOCO||marianna bay county 115 kv line,SOCO||comer primary broad river stone 46 kv line,2018Q4,1,1,SOCO,Solar,1
647,PJM||trowbridge 230 kv,PJM||northern neck 345 kv,2020Q1,3,3,PJM,Solar,1
648,PJM||kensington 138 kv,PJM||fall creek 345 kv,2024Q2,2,2,PJM,Battery,1
649,SOCO||madison park thurlow dam 115 kv line,SOCO||corn crib thomaston 115 kv line,2018Q2,1,1,SOCO,Solar,1
650,CAISO||whirlwind 230 kv substation,CAISO||arco tulare lake line,2017Q1,1,1,CAISO,Solar,1
651,PJM||pedricktown 12 kv,PJM||broadway 12 kv,2010Q4,1,1,PJM,Solar,1
652,CAISO||tesla substation 230 kv,CAISO||birds landing switchyard 230 kv,2018Q2,1,1,CAISO,Battery,1
653,PJM||nottingham 138 kv,PJM||columbia geisinger tap #1 69 kv,2022Q3,2,2,PJM,Solar,2
654,PJM||peach bottom 500 kv,PJM||horse shoe run 69 kv,2007Q4,2,2,PJM,Gas,1
655,PSCo||san luis poncha 230 kv line,PSCo||mosca substation,2010Q3,2,2,PSCo,Solar,1
656,CAISO||midway substation 230 kv,CAISO||helm substation 230 kv,2021Q2,3,2,CAISO,Solar+Battery,1
657,ERCOT||tap 345 kv 1907 venus 68090 sam switching,ERCOT||345 kv bell county east switch (bus# 3687) tnp one (bus# 39950) circuit 2,2023Q2,2,2,ERCOT,Solar,1
658,PJM||olive reynolds #1 345 kv,PJM||continental 69 kv,2021Q2,2,2,PJM,Solar,1
659,CAISO||mccall substation,CAISO||500 kv line to the new midpoint switching station,2009Q3,1,1,CAISO,Gas,1
660,PJM||curdsville dp willis mount 115 kv,PJM||farmville moran dp 115 kv,2024Q2,2,2,PJM,Battery,1
661,PJM||cumberland w shore #1 69 kv,PJM||broadway stewartsville#2 345 kv,2011Q4,1,1,PJM,Solar,1
662,PJM||tunis 345 kv,PJM||blairsville east 23 kv,2020Q3,1,1,PJM,Solar,1
663,PJM||kidds store fork union 115 kv ii,PJM||brunswick collector bus wake 500 kv,2024Q4,1,1,PJM,Battery,1
664,PJM||sporn 138 kv,PJM||bear peak rostraver ii 1247 kv,2023Q1,1,1,PJM,Solar,1
665,PJM||morgantown/oak grove 230 kv,PJM||doubs 500 kv or 230 kv,2002Q3,2,2,PJM,Gas,1
666,CAISO||morro bay substation 230 kv,CAISO||diablo canyon switching station 500 kv,2019Q2,1,1,CAISO,Offshore Wind,1
667,CAISO||east county substation 500 kv,CAISO||collector substation at geysers #17 fulton 230 kv line,2024Q2,1,1,CAISO,Wind,1
668,CAISO||tesla substation 115 kv,CAISO||chino substation 220 kv,2019Q3,1,1,CAISO,Battery,1
669,PJM||conneaut conneaut tap 69 kv,PJM||blacklick solar 12 kv,2021Q3,1,1,PJM,Solar,1
670,SOCO||dothan pinckard #2 115 kv line,SOCO||cotton primary substation 230 kv bus,2021Q1,1,1,SOCO,Solar,2
671,ERCOT||79502 windmill 345 kv,ERCOT||60500 edith clarke 345 kv,2018Q3,2,2,ERCOT,Wind,2
672,PJM||millbrook park 138 kv,PJM||amos unit 3,2013Q3,1,1,PJM,Coal,1
673,SOCO||waynesboro primary wilson 230 kv line,SOCO||blakely primary substation 46 kv bus,2014Q1,1,1,SOCO,Solar,1
674,PJM||shingletown boalsburg 46 kv,PJM||bloomsburg columbia 69 kv,2020Q4,1,1,PJM,Solar,1
675,CAISO||arco carneras 70 kv line,CAISO||cal cement rosamond 69 kv line,2012Q2,2,1,CAISO,Solar,1
676,PJM||tallmansville 138 kv,PJM||chalk point,2003Q1,1,1,PJM,Gas,1
677,CAISO||contra costa switchyard 230 kv,CAISO||fulton 230 kv,2018Q1,1,1,CAISO,Battery,1
678,PJM||east danville roxborough 230 kv,PJM||chase city 345 kv,2018Q2,2,2,PJM,Solar,2
679,PJM||mechanicsburg darby 138 kv,PJM||bloom 345 kv,2021Q1,1,1,PJM,Solar,1
680,PJM||beaverbrook 13 kv,PJM||brunswick 26 kv,2017Q3,1,1,PJM,Solar,1
681,PJM||rogers road carson 500 kv,PJM||fentress landstown 230 kv,2024Q4,2,2,PJM,Battery,1
682,PJM||kanawha river 138 kv,PJM||roanoke vinton 12 kv (niagara hydro),2019Q4,1,1,PJM,Hydro,1
683,PJM||van arsdell mercer industrial 69 kv,PJM||blue bell canton central 138 kv,2024Q4,1,1,PJM,Solar,1
684,ISO-NE||irasburg st johnsbury 115 kv,ISO-NE||115 kv west rutland substation,2006Q3,1,1,ISO-NE,Wind,1
685,PJM||lemoyne 345 kv,PJM||bowman 125 kv,2021Q4,1,1,PJM,Battery,1
686,PJM||barren county summer shade 161 kv,PJM||black branch 345 kv,2020Q1,1,1,PJM,Solar,1
687,PJM||crewe 125 kv,PJM||boalsburg centre hall 46 kv,2020Q3,1,1,PJM,Solar,1
688,CAISO||tesla bellota 230 kv line,CAISO||contra costa (230 kv),2015Q3,1,1,CAISO,Gas,1
689,PJM||venango 345 kv,PJM||bloomsburg columbia 69 kv ii,2024Q2,1,1,PJM,Solar,1
690,PJM||mansfield s troy 115 kv,PJM||antioch,2009Q4,1,1,PJM,Wind,1
691,PSCo||comanche 230 kv substation,PSCo||boone 230 kv substation,2019Q4,2,1,PSCo,Solar,1
692,PJM||howell,PJM||buckskin 12 kv,2012Q1,1,1,PJM,Solar,1
693,PJM||sullivan dequine 345 kv,PJM||east leipsic richland 138 kv,2023Q1,3,3,PJM,Solar,1
694,PJM||frostburg 138 kv,PJM||brokaw lanesville 345 kv,2020Q4,2,2,PJM,Wind,1
695,PJM||orrtanna 132 kv,PJM||blue jacket kirby 138 kv v,2024Q2,1,1,PJM,Solar,1
696,CAISO||strout switching station 70 kv,CAISO||camden junction lemoore tap 70 kv,2013Q1,1,1,CAISO,Solar,1
697,PJM||powerton goodings grove 345 kv,PJM||bayonne 26 kv,2011Q4,1,1,PJM,Wind,1
698,SOCO||branch springhill church 230 kv line,SOCO||demopolis greensboro 115 kv line,2024Q2,1,1,SOCO,Solar,1
699,PJM||rineyville 69 kv,PJM||blue mound i,2023Q3,1,1,PJM,Solar,1
700,PJM||miller rec warrior ridge 46 kv,PJM||bluegrass parkway tap woodlawn 69 kv,2024Q4,1,1,PJM,Solar,1
701,PJM||buxmont 69 kv,PJM||bremo cartersville 230 kv ii,2023Q1,1,1,PJM,Battery,1
702,PJM||eldred frackville 230 kv,PJM||beaver davis besse 345 kv i,2017Q4,1,1,PJM,Wind,1
703,PJM||bluff point 138 kv,PJM||baker hardy 138 kv,2012Q1,1,1,PJM,Wind,1
704,ERCOT||59900 long draw 345 kv,ERCOT||1141 holt 138 kv,2019Q1,1,1,ERCOT,Solar,1
705,PJM||weirwood eastville 69 kv,PJM||andersontown road #4,2014Q3,1,1,PJM,Solar,1
706,PJM||layland 69 kv,PJM||bluebell sancap tap 69 kv,2024Q2,1,1,PJM,Solar,1
707,SOCO||greene county north selma 230 kv line,SOCO||jasper (pef) west homerville 115 kv line,2016Q2,2,2,SOCO,Solar,1
708,ERCOT||6673 musquiz 138 kv,ERCOT||6101 riley 345 kv,2022Q3,2,2,ERCOT,Solar,1
709,PJM||lee county,PJM||berlin 23 kv,2010Q2,1,1,PJM,Wind,1
710,"ISO-NE||y 25 north, 69 kv line between searsburg and benni",ISO-NE||ashburnham no 610 138 kv,2008Q3,1,1,ISO-NE,Wind,1
711,PJM||baker 345 kv,PJM||churchtown 230 kv 1,2010Q4,1,1,PJM,Gas,1
712,PJM||columbia 138 kv,PJM||allen junction 138 kv,2011Q1,1,1,PJM,Wind,1
713,CAISO||ocean ranch substation 69 kv,CAISO||bellota riverbank,2024Q1,1,1,CAISO,Battery,1
714,ERCOT||44645 singleton 345 kv,ERCOT||(#78575) lcra yorktown 138 kv,2023Q4,1,1,ERCOT,Battery,1
715,ERCOT||76003 big hill 345 kv,ERCOT||138 kv (cehe substation) tap burke (42410) eagle nest (42430) ckt 02,2018Q3,1,1,ERCOT,Battery,1
716,PJM||dickerson 230 kv,PJM||central city west 23 kv,2002Q2,1,1,PJM,Gas,1
717,ISO-NE||bigelow substation,ISO-NE||bhe keene road 115 kv substation,2008Q3,1,1,ISO-NE,Wind,1
718,PJM||crisfield 25 kv,PJM||bismark 500 kv,2014Q4,1,1,PJM,Battery,1
719,PJM||southampton 13 kv,PJM||broadway 345 kv,2011Q1,1,1,PJM,Solar,1
720,PJM||snake spring 115 kv,PJM||bolivar 345 kv,2023Q4,1,1,PJM,Solar,1
721,PSCo||missile site substation 345 kv,PSCo||comanche switching station,2018Q3,7,8,PSCo,Wind,1
722,PJM||somerset 115 kv,PJM||dixon mendota 34 kv,2005Q2,1,1,PJM,Wind,2
723,PSCo||comanche 230 kv,PSCo||boone midway 230 kv line,2023Q2,1,1,PSCo,Solar+Battery,2
724,CAISO||pastoria substation 230 kv,CAISO||california flats switching station 230 kv,2022Q4,1,1,CAISO,Solar+Battery,1
725,PJM||madisonburg junction millheim 46 kv,PJM||bolton bennsville 69 kv,2021Q1,1,1,PJM,Solar,1
726,PJM||conesville 138 kv,PJM||bonney forge 23 kv,2021Q1,1,1,PJM,Solar,1
727,PJM||steel city,PJM||bridgewater middlesex 230 kv,2008Q3,1,1,PJM,Gas,1
728,PJM||somerset 345 kv,PJM||freemansburg #1 12 kv,2023Q3,1,1,PJM,Other,1
729,PJM||potter harlan 69 kv,PJM||columbia west bloomsburg 69 kv ii,2022Q1,2,2,PJM,Solar,1
730,PSCo||san luis valley substation,PSCo||brick center 230 kv,2018Q4,2,1,PSCo,Solar,1
731,ERCOT||tap 138 kv 32 robertson 64 milano,ERCOT||(bus# 6951) eustace southeast 138 kv substation (owned by rayburn electric cooperative),2023Q4,1,1,ERCOT,Battery,1
732,PJM||marengo 34 kv,PJM||crystal hill halifax 115 kv,2018Q3,2,2,PJM,Solar,1
733,PSCo||tundra switching station 345 kv,PSCo||plainview substation,2022Q3,2,1,PSCo,Wind,1
734,PJM||tyler 345 kv,PJM||bear peak west providence llc,2022Q2,1,1,PJM,Solar,2
735,PJM||talbert 230 kv,PJM||churchtown cumberland 230 kv,2008Q1,1,1,PJM,Gas,1
736,SOCO||athena union point primary 115 kv line,SOCO||montgomery substation snowdoun 230 kv line,2024Q1,2,2,SOCO,Solar,1
737,PJM||locust grove paytes 115 kv,PJM||carson septa 500 kv,2019Q1,2,2,PJM,Solar,1
738,PJM||us silica unimin 69 kv,PJM||bonnyman 69 kv,2021Q4,1,1,PJM,Solar,1
739,SOCO||bucks substation north brewton 230 kv line,SOCO||patsiliga creek substation 230 kv bus,2023Q2,2,2,SOCO,Solar,1
740,PJM||city of columbus,PJM||pine grove 69 kv,2006Q3,1,1,PJM,Diesel,1
741,SOCO||north americus north tifton 115 kv line,SOCO||crist south crestview #1 115 kv line,2018Q3,1,1,SOCO,Solar,1
742,PJM||greentown hummel creek 138 kv,PJM||bakers pond dp 115 kv,2022Q3,1,1,PJM,Solar+Battery,1
743,"ISO-NE||nep transmission line: 345 kv line 359, approximately 1055 miles from west farnum and 1081 miles from kent county substations","ISO-NE||115 kv line #1640 between devon 2 & wallingford substations, approximately 215 circuit miles from wallingford substation",2024Q2,1,1,ISO-NE,Battery,1
744,PJM||timblin 345 kv,PJM||belmont flint run 500 kv,2021Q1,1,1,PJM,Gas,1
745,PJM||dixon mcgirr,PJM||cambria nug 115 kv,2020Q1,1,1,PJM,Battery,1
746,PJM||germantown 132 kv,PJM||booth 1247,2023Q3,1,1,PJM,Solar,1
747,CAISO||midway tupman rio bravo renfro 115 kv,CAISO||cayetano 230 kv,2022Q4,1,1,CAISO,Solar+Battery,1
748,PJM||normandy 138 kv,PJM||belleville/new holland logan 46 kv,2013Q3,1,1,PJM,Wind,1
749,"ERCOT||tap 345 kv 76002 bakersfield 76005 schneemandr, ~ 11 mi e of bakersfield",ERCOT||76009 twin buttes 345 kv,2019Q1,2,2,ERCOT,Solar,1
750,PJM||wilcox paper city 46 kv,PJM||bowmans mill scott 69 kv,2020Q1,1,1,PJM,Solar,1
751,PJM||lawrenceville 345 kv,PJM||blackhawk,2007Q1,1,1,PJM,Other,1
752,PJM||morgantown 69 kv,PJM||bloom 138 kv,2010Q3,1,1,PJM,Battery,1
753,PJM||chase city 115 kv,PJM||brunswick wake 500 kv,2017Q2,1,1,PJM,Solar,1
754,SOCO||scooter substation 230 kv bus,SOCO||cuthbert primary dawson primary 115 kv line,2024Q3,1,1,SOCO,Solar+Battery,1
755,PJM||van buren delaware 138 kv,PJM||benton scott 69 kv ii,2024Q4,1,1,PJM,Solar+Battery,1
756,ERCOT||tap 345 kv 79501 ogallala 79502 windmill,ERCOT||61001 jim treece 345 kv,2018Q3,2,2,ERCOT,Wind,1
757,PJM||stewartsville captive plastics 345 kv,PJM||brookside cloverdale 138 kv,2011Q3,1,1,PJM,Solar,1
758,PJM||mottville 138 kv,PJM||boykins murphy 115 kv,2024Q4,1,1,PJM,Solar,1
759,PJM||birdsboro 132 kv,PJM||cardiff,2004Q3,1,1,PJM,Gas,1
760,PJM||massey 25 kv,PJM||aydlett 345 kv,2016Q2,1,1,PJM,Solar,1
761,PJM||corwin elk 138 kv,PJM||salem woodstown 69 kv,2021Q1,2,2,PJM,Solar+Battery,1
762,PJM||orrtanna 115 kv,PJM||bristers 230 kv,2022Q1,1,1,PJM,Battery,1
763,PJM||carson suffolk 500 kv,PJM||poland road runway dp 230 kv,2021Q4,3,3,PJM,Battery,1
764,"ISO-NE||eversource 345 kv line 3361, approximately 32 miles from sherman road and 76 miles from blackstone","ISO-NE||115 kv line 1070 between ft hill farms and stockhouse substations, interconnected by a new three breaker ring bus approximately 25 miles from ft hill farms substation",2024Q2,1,1,ISO-NE,Battery,1
765,PJM||rawlings clover 500 kv,PJM||mclean 345 kv,2024Q2,5,5,PJM,Solar,2
766,PJM||louisa south anna 230 kv,PJM||losantville 345 kv,2018Q4,3,3,PJM,Solar,1
767,PJM||mackeys 230 kv,PJM||clubhouse freeman 115 kv,2016Q2,2,2,PJM,Solar,1
768,PJM||ahoskie 345 kv,PJM||banister 345 kv,2018Q2,1,1,PJM,Solar,1
769,PJM||chesapeake 230 kv,PJM||byron wayne 345 kv #1,2018Q4,1,1,PJM,Gas,2
770,PJM||circleville 138 kv,PJM||eldean 138 kv,2024Q3,3,3,PJM,Solar,1
771,ERCOT||tap 138 kv 8906 north alamo 8354 weslaco switching station,ERCOT||(bus: 39015) north alvin tnmp 138 kv,2023Q3,1,1,ERCOT,Battery,1
772,SOCO||eufaula fort mitchell 115 kv line,SOCO||crist south crestview #2 115 kv line,2018Q3,1,1,SOCO,Solar,1
773,SOCO||douglas kettle creek primary 230 kv line,SOCO||ala river news print lowman (powersouth) 230 kv line,2022Q2,1,1,SOCO,Solar,2
774,PJM||eugene 345 kv,PJM||dumont greentown 765 kv,2024Q4,4,4,PJM,Solar+Battery,2
775,PJM||great adventure 345 kv,PJM||bengies 240v,2018Q1,1,1,PJM,Battery,1
776,PJM||makahoy 138 kv,PJM||bonney forge 23 kv ii,2021Q1,1,1,PJM,Solar,1
